customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,TechSupport,StreamingTV,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUS-00000,Male,0,No,No,67,Yes,Yes,DSL,No internet service,No,Yes,One year,Yes,Electronic check,74.86,5059.43,No
CUS-00001,Female,1,No,No,25,No,Yes,DSL,No,No,No,Month-to-month,Yes,Credit card (automatic),99.05,2561.75,Yes
CUS-00002,Male,0,No,No,61,Yes,No,Fiber optic,No,Yes,Yes,One year,Yes,Bank transfer (automatic),41.25,2395.45,Yes
CUS-00003,Male,0,Yes,No,26,Yes,Yes,DSL,Yes,No,No,One year,Yes,Bank transfer (automatic),105.11,2751.93,Yes
CUS-00004,Male,0,Yes,No,34,Yes,No,DSL,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),81.91,2701.69,No
CUS-00005,Female,1,Yes,No,9,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,56.11,523.68,No
CUS-00006,Male,0,Yes,Yes,40,Yes,Yes,No,No,Yes,No,Two year,Yes,Electronic check,82.77,3462.1,No
CUS-00007,Male,0,Yes,No,7,No,No,No,No,No internet service,Yes,Two year,Yes,Electronic check,110.81,801.12,No
CUS-00008,Male,0,Yes,No,30,Yes,Yes,Fiber optic,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),116.82,3341.18,Yes
CUS-00009,Female,0,Yes,Yes,66,No,Yes,Fiber optic,Yes,No,Yes,One year,Yes,Credit card (automatic),46.14,2985.17,No
CUS-00010,Male,0,Yes,Yes,30,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),108.91,3179.0,Yes
CUS-00011,Male,0,Yes,No,68,Yes,Yes,Fiber optic,Yes,No,Yes,One year,Yes,Electronic check,21.86,1534.98,No
CUS-00012,Male,0,No,No,58,Yes,No,DSL,No,No,Yes,Month-to-month,Yes,Electronic check,18.73,1033.99,Yes
CUS-00013,Male,0,No,Yes,55,Yes,Yes,DSL,Yes,No,No internet service,Month-to-month,Yes,Electronic check,78.16,4480.53,No
CUS-00014,Female,0,Yes,No,14,Yes,No,DSL,No internet service,Yes,Yes,Month-to-month,No,Credit card (automatic),66.16,934.34,Yes
CUS-00015,Male,0,Yes,No,37,Yes,No,No,Yes,No,Yes,One year,Yes,Electronic check,64.92,2460.67,No
CUS-00016,Female,0,Yes,Yes,44,Yes,No,Fiber optic,No,No,Yes,Month-to-month,No,Mailed check,41.41,1813.97,Yes
CUS-00017,Female,0,No,Yes,6,Yes,No,Fiber optic,Yes,No internet service,No internet service,Month-to-month,Yes,Electronic check,77.75,476.16,No
CUS-00018,Female,1,Yes,No,26,Yes,No,DSL,No,No internet service,No,One year,No,Credit card (automatic),19.69,503.47,No
CUS-00019,Male,0,No,No,14,Yes,No phone service,DSL,No,No internet service,Yes,Two year,Yes,Bank transfer (automatic),61.38,873.08,No
CUS-00020,Female,1,Yes,No,8,No,Yes,Fiber optic,Yes,No,No,Two year,No,Credit card (automatic),54.69,434.49,Yes
CUS-00021,Male,0,Yes,No,24,Yes,No phone service,Fiber optic,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),37.31,934.12,No
CUS-00022,Female,0,Yes,Yes,39,Yes,No,Fiber optic,No internet service,No,No internet service,One year,Yes,Bank transfer (automatic),69.07,2809.69,No
CUS-00023,Female,1,Yes,No,49,Yes,No,DSL,Yes,No,No,Two year,Yes,Mailed check,87.03,4294.45,No
CUS-00024,Female,0,No,No,63,Yes,No phone service,Fiber optic,No,No,Yes,Two year,Yes,Electronic check,99.3,6426.9,No
CUS-00025,Female,0,No,No,26,Yes,No,No,No,Yes,No,Month-to-month,No,Mailed check,64.22,1710.18,Yes
CUS-00026,Female,0,No,No,10,Yes,No,No,No,No internet service,No,Month-to-month,Yes,Electronic check,41.99,428.57,Yes
CUS-00027,Female,0,No,Yes,58,Yes,No,DSL,No,Yes,No,Two year,No,Bank transfer (automatic),38.99,2368.63,No
CUS-00028,Female,0,No,No,14,Yes,No,Fiber optic,Yes,No,No,Month-to-month,No,Mailed check,75.92,1103.03,No
CUS-00029,Female,0,No,Yes,71,Yes,No,DSL,No internet service,No,No,Two year,No,Mailed check,56.93,4141.19,No
CUS-00030,Male,0,Yes,Yes,39,No,Yes,Fiber optic,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),49.76,1858.95,Yes
CUS-00031,Male,0,Yes,No,31,Yes,No,Fiber optic,Yes,No,No,One year,Yes,Electronic check,70.3,2147.71,No
CUS-00032,Female,0,Yes,Yes,50,Yes,No phone service,DSL,No,Yes,No,One year,Yes,Mailed check,73.64,3624.32,No
CUS-00033,Female,0,No,No,16,No,No,No,Yes,No internet service,No internet service,Month-to-month,No,Mailed check,41.38,662.89,No
CUS-00034,Female,0,Yes,Yes,51,Yes,No,Fiber optic,Yes,No internet service,Yes,Month-to-month,No,Electronic check,55.83,2948.92,Yes
CUS-00035,Male,0,No,Yes,15,Yes,No,No,No,No,No internet service,One year,Yes,Electronic check,88.77,1354.44,No
CUS-00036,Female,1,Yes,No,38,Yes,Yes,DSL,No internet service,Yes,Yes,Two year,No,Electronic check,56.74,2214.67,No
CUS-00037,Male,0,No,Yes,71,Yes,Yes,DSL,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),62.41,4228.03,No
CUS-00038,Male,1,Yes,Yes,21,Yes,Yes,Fiber optic,No,Yes,Yes,Month-to-month,No,Electronic check,82.0,1645.12,No
CUS-00039,Male,0,Yes,No,16,No,Yes,Fiber optic,No,No,No,Month-to-month,No,Mailed check,37.08,618.7,No
CUS-00040,Male,0,No,Yes,67,Yes,No,Fiber optic,No,No,No,One year,Yes,Bank transfer (automatic),104.68,6809.86,No
CUS-00041,Male,0,Yes,Yes,65,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),51.84,3468.86,Yes
CUS-00042,Female,0,No,No,13,No,Yes,Fiber optic,No,No,No,Month-to-month,No,Credit card (automatic),86.77,1133.45,No
CUS-00043,Female,0,Yes,Yes,64,No,Yes,Fiber optic,No,No internet service,Yes,Month-to-month,No,Electronic check,47.72,3008.17,No
CUS-00044,Female,0,Yes,No,61,Yes,Yes,No,No,Yes,No,One year,Yes,Electronic check,82.81,5184.54,No
CUS-00045,Female,0,No,Yes,32,Yes,Yes,Fiber optic,No,No,No,Month-to-month,No,Electronic check,45.73,1531.39,Yes
CUS-00046,Female,1,No,Yes,12,Yes,No,Fiber optic,No,No,No,Month-to-month,Yes,Electronic check,92.8,1086.74,No
CUS-00047,Male,0,Yes,No,41,Yes,Yes,Fiber optic,No,No internet service,No,Month-to-month,No,Electronic check,28.49,1150.83,No
CUS-00048,Female,0,No,No,66,Yes,Yes,Fiber optic,No,No,Yes,Two year,Yes,Electronic check,48.75,3150.99,No
