feature,importance
MonthlyCharges,0.17568138979549272
TotalCharges,0.16922923728726957
tenure,0.14762615244864685
Contract,0.08059674199297627
PaymentMethod,0.05646625032401986
StreamingTV,0.044716118896719205
InternetService,0.0411130306707537
OnlineSecurity,0.039173737802736495
MultipleLines,0.03902187464865405
TechSupport,0.034202639662213846
PaperlessBilling,0.0291535984723682
gender,0.028577218461976663
Dependents,0.026647220293250444
Partner,0.026339645569531642
SeniorCitizen,0.02005887885927763
PhoneService,0.016207710428833188
no_support,0.014362368243903627
high_value,0.010826186141376053
